/new-cars/trim/volvo-v60-2015-t6-旗艦款|{"brand": "volvo", "model": "v60-2015", "type": "T6 旗艦款"}

/new-cars/trim/volkswagen-cc-2016-2-.-0-tdi-bluemotion|{"brand": "volkswagen", "model": "cc-2016", "type": "2.0 TDI BlueMotion"}

/new-cars/trim/porsche-cayenne-2007-cayenne|{"brand": "porsche", "model": "cayenne-2007", "type": "Cayenne"}

/new-cars/trim/nissan-370z-coupe-2016-3-.-7|{"brand": "nissan", "model": "370z-coupe-2016", "type": "3.7"}

/new-cars/trim/nissan-gt-r-2017-3-.-8-black-premium-edition|{"brand": "nissan", "model": "gt-r-2017", "type": "3.8 Black  Premium Edition"}

/new-cars/trim/mitsubishi-colt-plus-2010-1-.-6豪華型|{"brand": "mitsubishi", "model": "colt-plus-2010", "type": "1.6豪華型"}

/new-cars/trim/mazda-6-2008-2-.-5|{"brand": "mazda", "model": "6-2008", "type": "2.5"}

/new-cars/trim/honda-cr-v-2008-2-.-0-s|{"brand": "honda", "model": "cr-v-2008", "type": "2.0 S"}

/new-cars/trim/m-benz-s-class-2009-s300l存檔備用|{"brand": "m-benz", "model": "s-class-2009", "type": "S300L存檔備用"}

/new-cars/trim/nissan-gt-r-2017-3-.-8-premium-edition|{"brand": "nissan", "model": "gt-r-2017", "type": "3.8 Premium Edition"}

/new-cars/trim/nissan-370z-coupe-2017-3-.-7|{"brand": "nissan", "model": "370z-coupe-2017", "type": "3.7"}

/new-cars/trim/mitsubishi-colt-plus-2010-1-.-6雅緻型|{"brand": "mitsubishi", "model": "colt-plus-2010", "type": "1.6雅緻型"}

/new-cars/trim/mitsubishi-colt-plus-2010-1-.-6尊貴型|{"brand": "mitsubishi", "model": "colt-plus-2010", "type": "1.6尊貴型"}

/new-cars/trim/mazda-6-2008-2-.-5|{"brand": "mazda", "model": "6-2008", "type": "2.5"}

/new-cars/trim/m-benz-s-class-2008-s300l|{"brand": "m-benz", "model": "s-class-2008", "type": "S300L"}

/new-cars/trim/volkswagen-cc-2016-2-.-0-tdi-bluemotion|{"brand": "volkswagen", "model": "cc-2016", "type": "2.0 TDI BlueMotion"}

/new-cars/trim/volvo-v60-2015-t6-旗艦款|{"brand": "volvo", "model": "v60-2015", "type": "T6 旗艦款"}

/new-cars/trim/porsche-cayenne-2007-cayenne|{"brand": "porsche", "model": "cayenne-2007", "type": "Cayenne"}

/new-cars/trim/nissan-370z-coupe-2016-3-.-7|{"brand": "nissan", "model": "370z-coupe-2016", "type": "3.7"}

/new-cars/trim/nissan-gt-r-2017-3-.-8-premium-edition|{"brand": "nissan", "model": "gt-r-2017", "type": "3.8 Premium Edition"}

/new-cars/trim/nissan-gt-r-2017-3-.-8-black-premium-edition|{"brand": "nissan", "model": "gt-r-2017", "type": "3.8 Black  Premium Edition"}

/new-cars/trim/nissan-370z-coupe-2017-3-.-7|{"brand": "nissan", "model": "370z-coupe-2017", "type": "3.7"}

/new-cars/trim/mitsubishi-colt-plus-2010-1-.-6雅緻型|{"brand": "mitsubishi", "model": "colt-plus-2010", "type": "1.6雅緻型"}

/new-cars/trim/mitsubishi-colt-plus-2010-1-.-6豪華型|{"brand": "mitsubishi", "model": "colt-plus-2010", "type": "1.6豪華型"}

/new-cars/trim/mitsubishi-colt-plus-2010-1-.-6尊貴型|{"brand": "mitsubishi", "model": "colt-plus-2010", "type": "1.6尊貴型"}

/new-cars/trim/mazda-6-2008-2-.-5|{"brand": "mazda", "model": "6-2008", "type": "2.5"}

/new-cars/trim/mazda-6-2008-2-.-5|{"brand": "mazda", "model": "6-2008", "type": "2.5"}

/new-cars/trim/honda-cr-v-2008-2-.-0-s|{"brand": "honda", "model": "cr-v-2008", "type": "2.0 S"}

/new-cars/trim/m-benz-s-class-2008-s300l|{"brand": "m-benz", "model": "s-class-2008", "type": "S300L"}

/new-cars/trim/m-benz-s-class-2009-s300l存檔備用|{"brand": "m-benz", "model": "s-class-2009", "type": "S300L存檔備用"}

